permalink,name,homepage_url,category_list,market,funding_total_usd,status,country_code,state_code,region,city,funding_rounds,founded_at,founded_month,founded_quarter,founded_year,first_funding_at,last_funding_at
/organization/1rebel,1Rebel,http://1rebelco.uk,|Fitness|, Fitness ,"2,572,969",operating,,,,,1.0,,,,,2014-09-01T00:00:00,2014-09-01T00:00:00
/organization/1ring,1Ring,http://www.1ring.com,|Games|Contests|Television|Startups|Sales and Marketing|News|Music|Advertising|Mobile|Curated Web|, Sales and Marketing , -   ,operating,,,,,1.0,2009-05-01T00:00:00,2009-05,2009-Q2,2009.0,2011-02-21T00:00:00,2011-02-21T00:00:00
/organization/1rp-media,1RP Media,,,, -   ,operating,USA,CA,Los Angeles,Los Angeles,1.0,2011-01-01T00:00:00,2011-01,2011-Q1,2011.0,2012-06-29T00:00:00,2012-06-29T00:00:00
/organization/1sdk,1SDK,http://www.1sdk.com,|Mobile Payments|Monetization|Mobile|, Monetization ,"19,299",operating,DEU,,Berlin,Berlin,1.0,2012-09-01T00:00:00,2012-09,2012-Q3,2012.0,2013-08-05T00:00:00,2013-08-05T00:00:00
/organization/1spire,1spire,http://bitmado.com,|Manufacturing|, Manufacturing ,"30,000",operating,USA,TX,Houston,Houston,1.0,2011-10-01T00:00:00,2011-10,2011-Q4,2011.0,2011-12-20T00:00:00,2011-12-20T00:00:00
/organization/1st-choice-lawn-care,1st Choice Lawn Care,,,, -   ,operating,USA,LA,Shreveport,Bossier City,1.0,2012-08-01T00:00:00,2012-08,2012-Q3,2012.0,2012-07-22T00:00:00,2012-07-22T00:00:00
/organization/1st-merchant-funding,1st Merchant Funding,http://www.1stmerchantfunding.com/,|Financial Services|, Financial Services ,"10,000,000",,USA,FL,Miami,Miami,1.0,2007-01-01T00:00:00,2007-01,2007-Q1,2007.0,2014-05-07T00:00:00,2014-05-07T00:00:00
/organization/1stdibs,1stdibs,http://www.1stdibs.com,|E-Commerce|, E-Commerce ,"117,000,000",operating,USA,NY,New York City,New York,4.0,2001-01-01T00:00:00,2001-01,2001-Q1,2001.0,2011-11-03T00:00:00,2014-01-24T00:00:00
/organization/1stgig-com,1stGig.com,http://www.1stgig.com,|E-Commerce|, E-Commerce ,"750,000",operating,USA,NY,"Albany, NY",Saratoga Springs,1.0,2009-08-01T00:00:00,2009-08,2009-Q3,2009.0,2012-10-01T00:00:00,2012-10-01T00:00:00
/organization/1world-online,1World Online,http://1worldonline.com,|Mobile|Analytics|Big Data|Enterprise Software|, Enterprise Software ,"1,500,000",operating,USA,CA,SF Bay Area,San Jose,2.0,2011-12-01T00:00:00,2011-12,2011-Q4,2011.0,2013-07-02T00:00:00,2013-12-01T00:00:00
/organization/2-minutes,2 Minutes,http://www.2minutes.fr,|Games|, Games ,"1,660,000",operating,FRA,,Paris,Paris,1.0,2000-10-01T00:00:00,2000-10,2000-Q4,2000.0,2008-06-19T00:00:00,2008-06-19T00:00:00
/organization/2-pro-media-group,2 Pro Media Group,http://www.2pro.hk,,,"41,250",operating,,,,,1.0,2011-01-01T00:00:00,2011-01,2011-Q1,2011.0,2014-01-01T00:00:00,2014-01-01T00:00:00
/organization/2-observe,2-Observe,http://www.2-observe.be/,,,"204,189",operating,BEL,,Liege,FerriíÂres,1.0,2010-01-01T00:00:00,2010-01,2010-Q1,2010.0,2014-06-25T00:00:00,2014-06-25T00:00:00
/organization/20-20-gene-systems-inc,20/20 Gene Systems Inc.,http://2020gene.com,|Biotechnology|, Biotechnology ,"150,000",operating,USA,MD,Washington D.C.,Rockville,1.0,2000-05-01T00:00:00,2000-05,2000-Q2,2000.0,2012-09-25T00:00:00,2012-09-25T00:00:00
/organization/2080-media,2080 Media,,|News|, News ,"41,000,000",operating,USA,GA,Atlanta,Atlanta,5.0,2008-01-01T00:00:00,2008-01,2008-Q1,2008.0,2010-08-05T00:00:00,2013-07-19T00:00:00
/organization/20-20-mobile,20:20 Mobile,http://www.2020mobile.com,|Mobile|, Mobile ,"29,750,000",operating,IRL,,Offaly,Cree,1.0,2006-09-01T00:00:00,2006-09,2006-Q3,2006.0,2008-07-04T00:00:00,2008-07-04T00:00:00
/organization/20lines,20lines,http://20lines.com,|Publishing|Education|Parenting|Curated Web|, Curated Web ,"1,236,454",operating,ITA,,Roncade,Roncade,3.0,2012-01-01T00:00:00,2012-01,2012-Q1,2012.0,2012-11-15T00:00:00,2014-06-01T00:00:00
/organization/20x200,20x200,http://www.20x200.com,|Social Commerce|Art|E-Commerce|, Art ,"2,800,000",operating,USA,NY,New York City,New York,2.0,2007-09-01T00:00:00,2007-09,2007-Q3,2007.0,2009-10-01T00:00:00,2010-08-01T00:00:00
/organization/21cake-food-co,21Cake Food Co.,http://www.21cake.com,|Manufacturing|Hospitality|, Manufacturing ,"1,464,128",operating,CHN,,Beijing,Beijing,1.0,2004-01-01T00:00:00,2004-01,2004-Q1,2004.0,2010-01-22T00:00:00,2010-01-22T00:00:00
/organization/21e6,2.10E+07,,,,"5,050,000",operating,USA,CA,SF Bay Area,San Francisco,1.0,2013-01-01T00:00:00,2013-01,2013-Q1,2013.0,2013-11-17T00:00:00,2013-11-17T00:00:00
/organization/21grams,21GRAMS,http://www.21grams.se,|Software|, Software ,"2,580,000",operating,SWE,,Stockholm,Stockholm,1.0,,,,,2006-04-03T00:00:00,2006-04-03T00:00:00
/organization/21vianet,21viaNet,http://www.ch.21vianet.com,|Software|Web Hosting|, Software ,"100,000,000",operating,CHN,,Beijing,Beijing,2.0,2009-10-16T00:00:00,2009-10,2009-Q4,2009.0,2012-12-01T00:00:00,2013-10-01T00:00:00
